RowID,Title,DEI Focus,Detailed Explanation
90,Collaborative Research: Evolution of ligand-dependent Robo receptor activation mechanisms for axon guidance,Medium,"'Collaborative Research: Evolution of ligand-dependent Robo receptor activation mechanisms for axon guidance' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
91,RII Track-2 FEC: Community-Driven Coastal Climate Research & Solutions for the Resilience of New England Coastal Populations,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
92,Updating technical components to sustain XMAPortal and ZMAPortal for the comparative biomechanics research community,None,"'Updating technical components to sustain XMAPortal and ZMAPortal for the comparative biomechanics research community' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
93,Fostering STEM Engagement from Parent-Child Interaction,None,"'Fostering STEM Engagement from Parent-Child Interaction' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
94,A physics-based neural network approach for geophysical inversions,Medium,"'A physics-based neural network approach for geophysical inversions' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
95,Doctoral Dissertation Research in Economics: Algorithmic Bias and Dynamics of Hate Speech on Social Media,None,"'Doctoral Dissertation Research in Economics: Algorithmic Bias and Dynamics of Hate Speech on Social Media' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
96,EA: Acquisition of an IRMS for sulfur isotope measurements,Medium,"'EA: Acquisition of an IRMS for sulfur isotope measurements' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
97,Collaborative Research: FieldSafe - Changing the Culture of Fieldwork in the Geosciences,Medium,"'Collaborative Research: FieldSafe - Changing the Culture of Fieldwork in the Geosciences' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
98,Collaborative Research: Investigating intraplate melting processes in northwest New Zealand with seismic imaging,None,"'Collaborative Research: Investigating intraplate melting processes in northwest New Zealand with seismic imaging' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
99,Collaborative Research: SaTC: CORE: Medium: Securing Continuous Integration Workflows,Medium,"'Collaborative Research: SaTC: CORE: Medium: Securing Continuous Integration Workflows' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
100,Computer-assisted Proofs in Fluid Mechanics and Applications,Medium,"'Computer-assisted Proofs in Fluid Mechanics and Applications' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
101,AGEP FC-PAM: Alliance for Relevant and Inclusive Sponsorship of Engineering Researchers (ARISE) to Increase the Diversity of the Biomedical Engineering Faculty,High,"The research project titled 'AGEP FC-PAM: Alliance for Relevant and Inclusive Sponsorship of Engineering Researchers (ARISE) to Increase the Diversity of the Biomedical Engineering Faculty' explicitly discusses topics related to identity, justice, or intersectionality. It emphasizes the experiences of marginalized groups and aims to address structural inequities. The abstract includes direct references to minority identity and social justice frameworks, indicating a strong DEI focus."
102,FRG: Collaborative Research: Singularities in Incompressible Flows: Computer Assisted Proofs and Physics-Informed Neural Networks,None,"'FRG: Collaborative Research: Singularities in Incompressible Flows: Computer Assisted Proofs and Physics-Informed Neural Networks' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
103,"High Order Schemes: Bound Preserving, Moving Boundary, Stochastic Effects and Efficient Time Discretization",None,"'High Order Schemes: Bound Preserving, Moving Boundary, Stochastic Effects and Efficient Time Discretization' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
104,"The transition from normal subduction to slab window, unraveling its effect on the subcontinental lithospheric mantle of southern Patagonia",None,"'The transition from normal subduction to slab window, unraveling its effect on the subcontinental lithospheric mantle of southern Patagonia' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
105,Higher order methods for fluid structure interaction problems,None,"'Higher order methods for fluid structure interaction problems' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
106,DDRIG in DRMS: The implications of algorithmic decision-making for inequality in long-term care,Medium,"'DDRIG in DRMS: The implications of algorithmic decision-making for inequality in long-term care' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
107,Measure Transportation And Notions Of Dimensionality In High Dimensional Probability,None,"'Measure Transportation And Notions Of Dimensionality In High Dimensional Probability' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
108,"Collaborative Research: Integrated Experiments and Modeling for Spatial, Finite, and Fast Rheometry of Graded Hydrogels using Inertial Cavitation",None,"'Collaborative Research: Integrated Experiments and Modeling for Spatial, Finite, and Fast Rheometry of Graded Hydrogels using Inertial Cavitation' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
109,"CAREER: Countering Emerging Software Threats with Adaptive Hardening, Debloating, and Hardware-assisted Protection",None,"'CAREER: Countering Emerging Software Threats with Adaptive Hardening, Debloating, and Hardware-assisted Protection' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
110,Collaborative Research: SaTC: CORE: Medium: Cryptographic accumulators and revocation of credentials,None,"'Collaborative Research: SaTC: CORE: Medium: Cryptographic accumulators and revocation of credentials' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
111,Electron Densities and Electron Correlations by X-Ray Scattering,None,"'Electron Densities and Electron Correlations by X-Ray Scattering' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
112,"REU Site: Dynamic Earth in the 21st Century: Undergraduate Research on the Evolution of Earth's Interior, Surface and Climate",Medium,"'REU Site: Dynamic Earth in the 21st Century: Undergraduate Research on the Evolution of Earth's Interior, Surface and Climate' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
113,Comprehensive analysis of alkenones and alkenoates by reversed phase HPLC-MS with unprecedented sensitivity and selectivity,Medium,"'Comprehensive analysis of alkenones and alkenoates by reversed phase HPLC-MS with unprecedented sensitivity and selectivity' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
114,SHF: Small: Little Tricky Logics: Misconceptions in Understanding Logics and Formal Properties,None,"'SHF: Small: Little Tricky Logics: Misconceptions in Understanding Logics and Formal Properties' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
115,AF: Small: Faster Algorithms for High-Dimensional Robust Statistics,None,"'AF: Small: Faster Algorithms for High-Dimensional Robust Statistics' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
116,"Collaborative Research: Towards a new framework for interpreting mantle deformation: integrating theory, experiments, and observations spanning seismic to convective timescales",None,"'Collaborative Research: Towards a new framework for interpreting mantle deformation: integrating theory, experiments, and observations spanning seismic to convective timescales' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
117,"Collaborative Research: BoCP-Implementation: The impact of climate change on functional biodiversity across spatiotemporal scales at Lake Tanganyika, Africa",Medium,"'Collaborative Research: BoCP-Implementation: The impact of climate change on functional biodiversity across spatiotemporal scales at Lake Tanganyika, Africa' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
118,Collaborative Research: SaTC: CORE: Small: Expanding the Realm of Oblivious Transfer: New Tools for Cryptography,None,"'Collaborative Research: SaTC: CORE: Small: Expanding the Realm of Oblivious Transfer: New Tools for Cryptography' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
119,Collaborative Research: Electromagnet-integrated optical microscope stage with biocompatible magnetogel for investigating mechanobiology in 2D and 3D,None,"'Collaborative Research: Electromagnet-integrated optical microscope stage with biocompatible magnetogel for investigating mechanobiology in 2D and 3D' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
120,"Collaborative Research: CNS Core: Medium: Access, Mobility, and Security above 100 GHz",None,"'Collaborative Research: CNS Core: Medium: Access, Mobility, and Security above 100 GHz' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
121,Transport Dynamics of the Northeast Pacific  In a Changing Climate,Medium,"'Transport Dynamics of the Northeast Pacific  In a Changing Climate' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
122,Equipment: Helium Recovery Equipment: Securing Rhode Island and Southern New England NMR structural biology infrastructure,None,"'Equipment: Helium Recovery Equipment: Securing Rhode Island and Southern New England NMR structural biology infrastructure' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
123,Collaborative Research: SWIFT-SAT: RFI Detection Across Six Orders of Magnitude in Intensity: A Unifying Framework with Weakly Supervised Machine Learning,None,"'Collaborative Research: SWIFT-SAT: RFI Detection Across Six Orders of Magnitude in Intensity: A Unifying Framework with Weakly Supervised Machine Learning' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
124,"Collaborative Research: Towards a new framework for interpreting mantle deformation: integrating theory, experiments, and observations spanning seismic to convective timescales",None,"'Collaborative Research: Towards a new framework for interpreting mantle deformation: integrating theory, experiments, and observations spanning seismic to convective timescales' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
125,ADVANCE Partnership: Empowering scientists to transform workplace climate through the ADVANCEGeo community-based intervention program,Medium,"'ADVANCE Partnership: Empowering scientists to transform workplace climate through the ADVANCEGeo community-based intervention program' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
126,Model Systems for Studying Carbohydrate-Carbohydrate Interactions,None,"'Model Systems for Studying Carbohydrate-Carbohydrate Interactions' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
127,Heat transport in topological matter,None,"'Heat transport in topological matter' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
128,CAREER: Testing the neural representation of sequences in nonhuman primate frontal cortex using fMRI-localized electrophysiology,Medium,"'CAREER: Testing the neural representation of sequences in nonhuman primate frontal cortex using fMRI-localized electrophysiology' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
129,Collaborative Research: Experimental deformation of monazite and titanite: Implications for interpretation of petrochronologic data,Medium,"'Collaborative Research: Experimental deformation of monazite and titanite: Implications for interpretation of petrochronologic data' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
130,CAS: Collaborative Research: Integrative Learning of Fluorescence Fluctuations in Perovskite Quantum Dots Using A Data Science Assisted Single-Particle Approach,Medium,"'CAS: Collaborative Research: Integrative Learning of Fluorescence Fluctuations in Perovskite Quantum Dots Using A Data Science Assisted Single-Particle Approach' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
131,Active Fluids in Externally Driven Flows,Medium,"'Active Fluids in Externally Driven Flows' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
132,Collaborative Research: Quantifying the effects of Langmuir Turbulence on Sea Ice and The Arctic Ocean,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
133,Collaborative Research: A Coordinate-Free Framework for Improving Eddy Parameterizations,Medium,"'Collaborative Research: A Coordinate-Free Framework for Improving Eddy Parameterizations' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
134,The Geometry of Curves in Projective Space via Degeneration and Deformation,None,"'The Geometry of Curves in Projective Space via Degeneration and Deformation' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
135,Hybrid Methods for Statistical and Econometric Modeling,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
136,Experiments in teacher professional learning: Testing design features that accelerate instructional improvement in mathematics,None,"'Experiments in teacher professional learning: Testing design features that accelerate instructional improvement in mathematics' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
137,Thermally Activated Dynamics in 2D Colloidal Glasses and Crystals,None,"'Thermally Activated Dynamics in 2D Colloidal Glasses and Crystals' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
138,Hamiltonian Methods for Dispersive Fluids and Plasmas,None,"'Hamiltonian Methods for Dispersive Fluids and Plasmas' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
139,Collaborative Research: SaTC: CORE: Medium: The Next Generation of Leakage Attacks and Defenses for Encrypted Databases,None,"'Collaborative Research: SaTC: CORE: Medium: The Next Generation of Leakage Attacks and Defenses for Encrypted Databases' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
140,"Non-Binding Suggestions, Self-Enforcing Norms and the Determinants of Cooperation in Repeated Games",Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
141,Geometry and Arithmetic of Brill--Noether Loci and Brill--Noether curves,None,"'Geometry and Arithmetic of Brill--Noether Loci and Brill--Noether curves' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
142,Collaborative Research: Rare Earth Materials Under Extreme Conditions,None,"'Collaborative Research: Rare Earth Materials Under Extreme Conditions' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
143,SaTC: CORE: Small: Mercurial Signatures and Applications to Privacy-Preserving Authentication,None,"'SaTC: CORE: Small: Mercurial Signatures and Applications to Privacy-Preserving Authentication' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
144,Collaborative Proposal: Tectonic degassing as a possible solution to the Miocene climate enigma,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
145,The Impact of Covid-19 on the Educational and Career Outcomes of First-Generation College Students and their Families,None,"'The Impact of Covid-19 on the Educational and Career Outcomes of First-Generation College Students and their Families' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
146,Iron-sulfur Clusters as Biological Sensors: Mechanistic Investigations by Synthetic Modeling Studies,Medium,"'Iron-sulfur Clusters as Biological Sensors: Mechanistic Investigations by Synthetic Modeling Studies' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
147,Static and Dynamic Properties of Magnetic Skyrmions and Their Applications,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
148,The role of intercellular interactions in bacterial swarming motility,Medium,"'The role of intercellular interactions in bacterial swarming motility' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
149,Collaborative Proposal: Testing Collision Versus Frictional Stress-Drop Models of High-Frequency Earthquake Ground Motions,None,"'Collaborative Proposal: Testing Collision Versus Frictional Stress-Drop Models of High-Frequency Earthquake Ground Motions' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
150,"Collaborative Research: Non-homogeneous Harmonic Analysis, Spectral Theory, and Weighted Norm Estimates",None,"'Collaborative Research: Non-homogeneous Harmonic Analysis, Spectral Theory, and Weighted Norm Estimates' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
151,CAREER: Robot Perception of Human Physical Skills,None,"'CAREER: Robot Perception of Human Physical Skills' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
152,CAREER: Cameras and Algorithms that turn Rays Efficiently into Everyday Reconstructions,Medium,"'CAREER: Cameras and Algorithms that turn Rays Efficiently into Everyday Reconstructions' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
153,Probing the Western Antarctic Lithosphere and Asthenosphere with New Approaches to Imaging Seismic Wave Attenuation and Velocity,Medium,"'Probing the Western Antarctic Lithosphere and Asthenosphere with New Approaches to Imaging Seismic Wave Attenuation and Velocity' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
154,Pedagogical Tools for Formal Methods,None,"'Pedagogical Tools for Formal Methods' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
155,Collaborative Research: Tracing the Missing Physics of Submesoscale Entrainment and Subduction,Medium,"'Collaborative Research: Tracing the Missing Physics of Submesoscale Entrainment and Subduction' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
156,CAREER: CAS: Donor-Amplified Catalytic Approaches to Stereocontrolled Biodegradable Polymers,Medium,"'CAREER: CAS: Donor-Amplified Catalytic Approaches to Stereocontrolled Biodegradable Polymers' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
157,"Nanosheet-Biomolecular Hybrid Films Synthesis, Structure, and Controlled Release",None,"'Nanosheet-Biomolecular Hybrid Films Synthesis, Structure, and Controlled Release' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
158,"The Transition from Back Arc to Slab Window to Continental Rifting, Evidence from the Subcontinental Lithospheric Mantle of West Antarctica",None,"'The Transition from Back Arc to Slab Window to Continental Rifting, Evidence from the Subcontinental Lithospheric Mantle of West Antarctica' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
159,Collaborative Research: Labor Market and Public Policy Preferences,Medium,"'Collaborative Research: Labor Market and Public Policy Preferences' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
160,REU Site: Artificial Intelligence for Computational Creativity,Medium,"'REU Site: Artificial Intelligence for Computational Creativity' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
161,REU Site: Biology of Animal Movement and Performance,Medium,"'REU Site: Biology of Animal Movement and Performance' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
162,Collaborative Research: Decoding thermal and magmatic history of mafic and ultramafic rocks through systematic studies of cation diffusion in pyroxene,Medium,"'Collaborative Research: Decoding thermal and magmatic history of mafic and ultramafic rocks through systematic studies of cation diffusion in pyroxene' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
163,CAREER: studying superconductivity and ferromagnetism in 2D material heterostructures with flat energy band,None,"'CAREER: studying superconductivity and ferromagnetism in 2D material heterostructures with flat energy band' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
164,CAREER: Molecular Resolution of Long-range Allostery in CRISPR-Cas9,None,"'CAREER: Molecular Resolution of Long-range Allostery in CRISPR-Cas9' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
165,EAGER: Collaborative Research: Enhancing Asian American and Pacific Islander Participation and Belonging in the Geosciences,High,"The research project titled 'EAGER: Collaborative Research: Enhancing Asian American and Pacific Islander Participation and Belonging in the Geosciences' explicitly discusses topics related to identity, justice, or intersectionality. It emphasizes the experiences of marginalized groups and aims to address structural inequities. The abstract includes direct references to minority identity and social justice frameworks, indicating a strong DEI focus."
166,III: Medium: Collaborative Research: Situated Visual Information Spaces,None,"'III: Medium: Collaborative Research: Situated Visual Information Spaces' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
167,Personalizing Math Instruction at Scale: A Meta-Analytic and Cost-Effectiveness Analysis of Math Tutoring Programs,Medium,"'Personalizing Math Instruction at Scale: A Meta-Analytic and Cost-Effectiveness Analysis of Math Tutoring Programs' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
168,CAREER: Existence and Regularity of Solutions to Variational Problems in Geometric Analysis,None,"'CAREER: Existence and Regularity of Solutions to Variational Problems in Geometric Analysis' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
169,Collaborative Research: Emergent motor timing influences perceptual learning,Medium,"'Collaborative Research: Emergent motor timing influences perceptual learning' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
170,Collaborative Research: Ice Forcing in Arc Magma Plumbing Systems (IF-AMPS),Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
171,Collaborative Research:SLINGSHOT:Decoding Dark Matter through Gravitational Lensing,None,"'Collaborative Research:SLINGSHOT:Decoding Dark Matter through Gravitational Lensing' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
172,Collaborative Research: P2C2--Western United States Hydroclimate during the Last Interglacial: Developing Proxy Records and Using Model Intercomparison to Glimpse the Future,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
173,RTG: Mathematics of Information and Data with Applications to Science,Medium,"'RTG: Mathematics of Information and Data with Applications to Science' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
174,CAREER: Experimental tests of competition and facilitation among migratory large herbivores from Yellowstone National Park,None,"'CAREER: Experimental tests of competition and facilitation among migratory large herbivores from Yellowstone National Park' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
